id,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
1,"Fruits & Vegetables",Onion,25,16,3,21,1000,FALSE,1
2,"Fruits & Vegetables","Sponge Gourd",25,16,2,21,300,FALSE,300
3,"Fruits & Vegetables","Tomato Hybrid",42,16,3,35,1000,FALSE,1
4,"Fruits & Vegetables","Zama Organics Carrot",20,15,3,17,250,FALSE,250
5,"Fruits & Vegetables","Tender Coconut",51,15,3,43,58,FALSE,1
6,"Fruits & Vegetables","Coriander Leaves",20,15,3,17,100,FALSE,100
7,"Fruits & Vegetables","Safal Frozen - Mixed Vegetables",110,4,2,105,1000,FALSE,1
8,"Fruits & Vegetables","Zama Organics Sweet Potato",37,16,3,31,250,FALSE,250
9,"Fruits & Vegetables","Ladies Finger ",14,14,3,12,250,FALSE,250
10,"Fruits & Vegetables",Beetroot,16,18,3,13,500,FALSE,500
11,"Fruits & Vegetables",Potato,35,17,3,29,1000,FALSE,1
12,"Fruits & Vegetables",Lemon,75,16,3,63,200,FALSE,200
13,"Fruits & Vegetables",Capsicum,26,19,3,21,500,FALSE,500
14,"Fruits & Vegetables",Carrot,19,21,3,15,500,FALSE,500
15,"Fruits & Vegetables","Watermelon ",58,15,3,49,58,FALSE,1
16,"Fruits & Vegetables","Capsicum Green ",23,17,3,19,250,FALSE,250
17,"Fruits & Vegetables","Chilli Green ",19,15,3,16,100,FALSE,100
18,"Fruits & Vegetables",Garlic,17,23,3,13,200,FALSE,200
19,"Fruits & Vegetables",Carrot,13,15,0,11,250,TRUE,200
20,"Fruits & Vegetables",Beetroot,11,18,0,9,250,TRUE,250
21,"Fruits & Vegetables","Banana Robusta",29,17,3,24,348,FALSE,6
22,"Fruits & Vegetables","Garlic Indian ",11,18,3,9,100,FALSE,100
23,"Fruits & Vegetables","Moong Sprouts",35,17,0,29,200,TRUE,200
24,"Fruits & Vegetables","Safal Frozen Mixed Vegetables",60,5,0,57,500,TRUE,500
25,"Fruits & Vegetables","Safal Frozen Corn",41,4,0,39,200,TRUE,200
26,"Fruits & Vegetables","Safal Frozen - Sweet Corn",160,5,0,152,1000,TRUE,1
27,"Cooking Essentials","Maggi 2 Minute Masala Noodles",12,0,6,12,70,FALSE,70
28,"Cooking Essentials","iD Idli & Dosa Batter ",80,15,6,68,1000,FALSE,1
29,"Cooking Essentials","Tata Salt",24,0,6,24,1000,FALSE,1
30,"Cooking Essentials","Arden Eggs White",97,0,4,97,696,FALSE,12
31,"Cooking Essentials","Arden Eggs White",65,15,4,55,348,FALSE,6
32,"Cooking Essentials","Fortune Sunlite Refined Sunflower (Pouch)",230,4,6,219,1000,FALSE,1
33,"Cooking Essentials","Aashirvaad Superior MP Atta",250,2,6,245,5000,FALSE,5
34,"Cooking Essentials","Amul Pure Ghee (Pouch)",255,2,6,249,500,FALSE,500
35,"Cooking Essentials","Arden Eggs Brown",85,7,4,79,348,FALSE,6
36,"Cooking Essentials","Tata Salt Lite",40,10,6,36,1000,FALSE,1
37,"Cooking Essentials","Saffola Gold Oil (Pouch)",215,0,6,215,1000,FALSE,1
38,"Fruits & Vegetables",Cauliflower,26,15,3,22,58,FALSE,1
39,"Fruits & Vegetables",Ginger,14,14,3,12,200,FALSE,200
40,"Fruits & Vegetables",Spinach,19,15,3,16,250,FALSE,250
41,"Fruits & Vegetables",Muskmelon,42,16,3,35,58,FALSE,1
42,"Fruits & Vegetables","Cabbage ",15,13,3,13,58,FALSE,1
43,"Fruits & Vegetables",Methi,30,16,3,25,250,FALSE,250
44,"Fruits & Vegetables",Broccoli,36,16,3,30,500,FALSE,500
45,"Fruits & Vegetables",Sapota,30,16,3,25,348,FALSE,6
46,"Fruits & Vegetables",Onion,68,16,3,57,3000,FALSE,3
47,"Fruits & Vegetables",Potato,100,16,3,84,3000,FALSE,3
48,"Fruits & Vegetables","Orange Nagpur",82,15,3,69,232,FALSE,4
49,"Fruits & Vegetables","Mint Leaves ",11,18,3,9,100,FALSE,100
50,"Fruits & Vegetables","Beans French",33,15,3,28,250,FALSE,250
51,"Fruits & Vegetables","Bottle Gourd ",26,15,3,22,58,FALSE,1
52,"Fruits & Vegetables","Banana Elaichi ",58,15,3,49,348,FALSE,6
53,"Fruits & Vegetables","Coconut Big",36,16,3,30,58,FALSE,1
